type,name,median_tau_score,description,ts_pc,belongs_to,id,pc,target
CP,cetraxate,96.74,"gastrin inhibitor, mucus protecting agent","1.48, 0.39",,BRD-K48932581,"62.50, 50.00",GAST
CP,equol,94.89,estrogen receptor agonist,"0.52, 0.39",,BRD-A74907996,"44.44, 33.33","ESR2, ESR1"
CP,methapyrilene,94.87,histamine receptor antagonist,"1.35, 0.44",HRH1 antagonist,BRD-K47323024,"44.44, 22.22",
CP,ISOX,94.23,HDAC inhibitor,"1.81, 0.60",HDAC inhibitor,BRD-K69840642,"50.00, 30.00",HDAC6
CP,phensuximide,92.55,anticonvulsant,"0.60, 0.25",,BRD-A18043272,"44.44, 33.33",
CP,BMS-754807,92.43,insulin growth factor receptor inhibitor,"2.85, 0.90",IGF-1 inhibitor,BRD-K13049116,"30.00, 10.00","IGF1R, AKT1"
CP,SU-6656,92.29,src inhibitor,"1.23, 0.32",,BRD-K97354755,"20.00, 20.00","LYN, AURKB, AURKC, BRSK2, CALM1, CAMK2D, LCK, RET, SRC, YES1"
CP,KU-0063794,92,mTOR inhibitor,"2.21, 0.76",MTOR inhibitor,BRD-K67566344,"50.00, 30.00",MTOR
CP,CV-1808,91.02,adenosine receptor agonist,"1.07, 0.36",Adenosine receptor agonist,BRD-A64933752,"44.44, 44.44","ADORA2A, ADORA2B"
CP,L-741742,90.85,dopamine receptor antagonist,"1.61, 0.43",,BRD-K13211965,"33.33, 22.22","DRD4, DRD3, SCN1A, SCN3A"
CP,vinorelbine,-91.76,"tubulin inhibitor, apoptosis stimulant, microtubule inhibitor, mitosis inhibitor, mitotic inhibitor, tubulin polymerisation inhibitor, vinca alkaloid","1.24, 0.56",Tubulin inhibitor,BRD-M30523314,"10.00, 10.00",TUBB
CP,prunetin,-92.86,breast cancer resistance protein inhibitor,"1.04, 0.31",,BRD-K57546357,"0.00, 0.00","ABCG2, ALDH2"
CP,"7,4'-dihydroxyflavone",-93.74,opioid receptor antagonist,"2.32, 0.66",,BRD-K50384076,"16.67, 16.67",CYP19A1
CP,ponalrestat,-93.86,"aldose reductase inhibitor, reductase inhibitor","1.34, 0.30",,BRD-K68332390,"0.00, 0.00",AKR1B1
CP,RO-3306,-95.88,CDK inhibitor,"1.35, 0.31",CDK inhibitor,BRD-K78373679,"0.00, 0.00",CDK1
CP,SN-38,-96.05,topoisomerase inhibitor,"3.27, 1.09",Topoisomerase inhibitor,BRD-A36630025,"0.00, 0.00",TOP1
CP,importazole,-97.38,importin-???????? transport receptor inhibitor,"1.51, 0.24",,BRD-A02481876,"0.00, 0.00",KPNB1
CP,nornicotine,-97.4,acetylcholine receptor agonist,"0.83, 0.20",,BRD-A24543851,"0.00, 0.00",
CP,mitomycin-c,-98.49,"DNA alkylating drug, DNA inhibitor, DNA synthesis inhibitor","1.81, 0.56",DNA synthesis inhibitor,BRD-A48237631,"0.00, 0.00",
CP,megestrol,-98.86,"progesterone receptor agonist, DNA inhibitor, HegG2 inhibitor","1.46, 0.42",Progesterone receptor agonist,BRD-A35989968,"0.00, 0.00",PGR
CP,piperacillin,90.8,cell wall synthesis inhibitor,"1.52, 0.67",,BRD-K86873305,"11.11, 11.11",
CP,n-formylmethionylalanine,90.3,macrophage activator,"1.38, 0.47",,BRD-A61470182,"11.11, 11.11",
CP,WYE-354,90.08,mTOR inhibitor,"1.44, 0.57",MTOR inhibitor,BRD-K77008974,"20.00, 20.00",MTOR
CP,CS-110266,89.87,dopamine receptor agonist,"3.87, 1.32",,BRD-K15519488,"20.00, 0.00",SLC6A3
CP,rutin,89.63,"aldose reductase inhibitor, antioxidant, capillary stabilizing agent, nitric oxide scavenger, prolyl 4-hydroxylase inhibitor","0.81, 0.10",,BRD-K20482099,"30.00, 10.00","AKR1C3, AKR1B1, F10"
CP,alisertib,89.62,"Aurora kinase inhibitor, mitotic inhibitor, protein kinase inhibitor","0.98, 0.51",Aurora kinase inhibitor,BRD-K75295174,"22.22, 22.22",AURKA
CP,ipsapirone,88.5,serotonin receptor agonist,"1.03, 0.32",,BRD-K90574421,"44.44, 33.33",HTR1A
CP,zacopride,88.05,"serotonin receptor antagonist, serotonin receptor agonist","0.26, 0.05",,BRD-A65615053,"22.22, 22.22","HTR3A, HTR4, HTR3B, HTR5A"
CP,varenicline,87.69,acetylcholine receptor partial agonist,"1.34, 0.34",,BRD-K18855837,"22.22, 22.22","CHRNA4, CHRNA3, CHRNA6, CHRNA7, CHRNB2"
CP,AT-9283,86,"Aurora kinase inhibitor, JAK inhibitor, Abl kinase inhibitor, Bcr-Abl kinase inhibitor, FLT3 inhibitor, mitotic inhibitor, protein kinase inhibitor","0.88, 0.31",Aurora kinase inhibitor,BRD-K24576554,"33.33, 22.22","AURKA, AURKB, ABL1, BCR, FLT3, JAK2, JAK3, RPS6KA6, STK17A"
CP,HNHA,-89.57,HDAC inhibitor,"0.94, 0.40",,BRD-K76698671,"0.00, 0.00",HDAC1
CP,BRD-K06217810,-89.69,"CLK inhibitor, dual specificity tyrosine-(Y)-phosphorylation regulated kinase inhibitor, dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1B inhibitor","1.18, 0.31",,BRD-K06217810,"0.00, 0.00","CLK1, CLK4, DYRK1A, DYRK1B"
CP,altanserin,-89.8,"serotonin receptor antagonist, collagen stimulant","0.55, 0.14",,BRD-K00610438,"10.00, 10.00","HTR2A, HTR2C"
CP,epoxycholesterol,-89.81,LXR agonist,"1.11, 0.42",,BRD-K61480498,"0.00, 0.00","NR1H2, NR1H3"
CP,metrizamide,-89.88,iodine contrast agent,"0.84, 0.24",,BRD-A45543382,"0.00, 0.00",
CP,damnacanthal,-90.56,src inhibitor,"1.81, 0.50",,BRD-K93325701,"0.00, 0.00",
CP,W-9,-90.88,calmodulin antagonist,"0.93, 0.22",Calmodulin antagonist,BRD-K68341547,"0.00, 0.00",CALM2
CP,naftopidil,-91.04,"adrenergic receptor antagonist, calcium channel antagonist","0.68, 0.25",,BRD-A01787639,"0.00, 0.00","ADRA1A, ADRA1D"
CP,BRD-K86682249,-91.3,tyrosine phosphatase inhibitor,"0.90, 0.23",,BRD-K86682249,"0.00, 0.00","PTPN1, PTPN11"
CP,neratinib,-91.44,"EGFR inhibitor, receptor tyrosine protein kinase inhibitor, tyrosine kinase inhibitor","1.48, 0.31",EGFR inhibitor,BRD-K85606544,"0.00, 0.00","EGFR, ERBB2, ERBB4, KDR"
CP,tocainide,85.32,"sodium channel blocker, voltage-gated sodium channel blocker","0.43, 0.11",,BRD-A92670106,"11.11, 11.11",SCN5A
CP,salvinorin-a,85.06,opioid receptor agonist,"0.56, 0.23",,BRD-K19284129,"10.00, 10.00","OPRK1, OPRD1, OPRM1"
CP,montelukast,84.07,leukotriene receptor antagonist,"1.17, 0.31",,BRD-A31312900,"22.22, 11.11","CYSLTR1, ALOX5, CYP2C8"
CP,NNC-63-0532,83.92,opioid receptor agonist,"0.88, 0.19",,BRD-K36009368,"40.00, 10.00",OPRL1
CP,haloperidol,83.8,dopamine receptor antagonist,"1.23, 0.23",,BRD-K67783091,"30.00, 20.00","DRD2, DRD1, DRD3, HTR2A, CYP3A7, DRD4, DRD5, GRIN2B, HRH1, HTR1A, HTR1D, HTR2B, HTR7, KCNH1"
CP,ON-01910,83.58,"PLK inhibitor, cell cycle inhibitor, MCL1 inhibitor, protein kinase inhibitor","1.68, 0.69",,BRD-K35687265,"10.00, 10.00","CDK1, FLT1, FYN, MCL1, PDGFRA, PLK1, PLK2, SRC"
CP,avrainvillamide-analog-1,83.52,nucleophosmin inhibitor,"0.49, 0.40",Nucleophosmin inhibitor,BRD-K61691971,"33.33, 33.33",NPM1
CP,tozasertib,83.49,"Aurora kinase inhibitor, Bcr-Abl kinase inhibitor, FLT3 inhibitor, JAK inhibitor, Abl kinase inhibitor, mitotic inhibitor","0.77, 0.23",Aurora kinase inhibitor,BRD-K59369769,"20.00, 10.00","AURKA, AURKB, ABL1, AURKC, BCR, FLT3, JAK2, DDR2, LCK"
CP,piribedil,83.3,"dopamine receptor agonist, adrenergic receptor antagonist","0.93, 0.11",,BRD-K47936004,"11.11, 11.11","DRD2, DRD3, ADRA1A, ADRA2A, ADRA2C, DRD4, HTR1A, HTR2B"
CP,paxilline,83.02,"ABC transporter expression enhancer, high conductance calcium activated potassium blocker, LXR agonist","0.91, 0.25",Potassium channel blocker,BRD-K38251852,"0.00, 0.00","ABCA1, KCNMA1, NR1H3"
CP,orlistat,-87.94,"cholesterol inhibitor, diacylglycerol lipase inhibitor, fatty acid synthase inhibitor, gastric triacylglycerol lipase inhibitor, Hypolipemic pancreatic, gastric and carboxylester lipase inhibitor, lipase inhibitor, pancreatic lipase inhibitor","1.16, 0.32",,BRD-K63343048,"0.00, 0.00","PNLIP, DAGLA, FASN, LIPF, CNR1, DAGLB"
CP,YM-298198,-88.07,glutamate receptor antagonist,"0.99, 0.30",,BRD-K59650319,"0.00, 0.00",GRM1
CP,benzanthrone,-88.29,aromatic hydrocarbon derivate with fluorescent and luminescent properties,"1.09, 0.34",,BRD-K76872913,"0.00, 0.00",
CP,tretinoin,-88.29,"RAR agonist, RAR receptor binder, retinoid receptor agonist, ROR ligand","0.60, 0.19",,BRD-K71879491,"0.00, 0.00","RARG, RORB, ALDH1A1, ALDH1A2, GPRC5A, NR0B1, NR2C2, PPARD, RARA, RARB, RARRES1, RORC, RXRB, RXRG"
CP,BRD-K59222562,-88.56,"CLK inhibitor, dual specificity tyrosine-(Y)-phosphorylation regulated kinase inhibitor, dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1B inhibitor","1.36, 0.33",,BRD-K59222562,"0.00, 0.00","CLK1, CLK4, DYRK1A, DYRK1B"
CP,saracatinib,-88.58,"src inhibitor, Abl kinase inhibitor","1.24, 0.47",SRC inhibitor,BRD-K19540840,"0.00, 0.00","SRC, ABL1, LCK, YES1"
CP,TCS-359,-88.74,FLT3 inhibitor,"1.22, 0.43",,BRD-K81376179,"0.00, 0.00",FLT3
CP,felbamate,-88.97,"carbonic anhydrase inhibitor, GABA receptor modulator, glutamate receptor blocker","0.57, 0.11",,BRD-K99107520,"0.00, 0.00","GRIN2A, GRIN2B, GRIN3A"
CP,oleanolic-acid,-89.08,antitumor agent,"2.12, 0.63",,BRD-A41112154,"0.00, 0.00",
CP,BRD-K39187410,-89.52,antiamyloidogenic agent,"0.81, 0.28",,BRD-K39187410,"0.00, 0.00",
CP,PP-30,82.88,RAF inhibitor,"1.25, 0.48",,BRD-K30677119,"10.00, 10.00",RAF1
CP,doxercalciferol,82.83,vitamin D receptor agonist,"1.52, 0.33",Vitamin D receptor agonist,BRD-K14550461,"11.11, 0.00",VDR
CP,entinostat,82.67,"HDAC inhibitor, cell cycle inhibitor","1.00, 0.38",HDAC inhibitor,BRD-K77908580,"10.00, 0.00","HDAC1, HDAC2, HDAC3, HDAC9"
CP,AM-404,82.47,"FAAH transport inhibitor, anandamide transport inhibitor, nucelar factor of activated T-cells inhibitor, TRPV agonist","0.82, 0.23",,BRD-K55462201,"0.00, 0.00","TRPV1, CNR1, CNR2, FAAH"
CP,apafant,82.38,platelet activating factor receptor antagonist,"1.13, 0.28",,BRD-K28115081,"0.00, 0.00",PTAFR
CP,latrunculin-b,82.28,"actin destabilizer, unidentified pharmacological activity","1.32, 0.42",,BRD-A19248578,"0.00, 0.00","ACTA1, MKL1, SPIRE2"
CP,geldanamycin,82.23,HSP inhibitor,"0.99, 0.30",HSP inhibitor,BRD-A19500257,"0.00, 0.00","HSP90AA1, HSP90AB1"
CP,nifurtimox,82,DNA inhibitor,"0.97, 0.34",,BRD-A00100033,"0.00, 0.00",
CP,R-59022,81.48,"diacylglycerol kinase inhibitor, protein kinase inhibitor","1.57, 0.51",,BRD-K54665485,"0.00, 0.00",DGKA
CP,dictamnine,81.36,furoquinoline alkaloid that causes smooth muscle contraction,"1.32, 0.44",,BRD-K29178788,"20.00, 20.00",
CP,piceatannol,-85.73,"syk inhibitor, cyclooxygenase inhibitor, nitric oxide synthase inhibitor, SIRT activator, tyrosinase inhibitor, tyrosine kinase inhibitor","0.63, 0.10",,BRD-K91509126,"0.00, 0.00","ATP5A1, ATP5B, ATP5C1, IRF3, PTGS2, SIRT1, SYK, TYR"
CP,testosterone,-86.24,"androgen receptor (AR) agonist, androgen receptor agonist, testosterone receptor agonist","1.01, 0.38",,BRD-A79479878,"11.11, 11.11","AR, CYP19A1, CYP2C19, CYP2C8, CYP3A5"
CP,heraclenol,-86.29,furocoumarin compound with antiproliferative activity at G2/M phase,"1.02, 0.30",,BRD-A77050075,"0.00, 0.00",
CP,acepromazine,-86.68,dopamine receptor antagonist,"1.01, 0.24",Dopamine receptor antagonist,BRD-K37814297,"14.29, 0.00","ADRA1A, ADRA1B, DRD1, DRD2, HTR1A, HTR2A"
CP,hydrocortisone,-86.84,"corticosteroid agonist, glucocorticoid receptor agonist, immunosuppressant, interleukin receptor antagonist","1.44, 0.70",Glucocorticoid receptor agonist,BRD-A46186775,"11.11, 0.00","ANXA1, NOS2, NR3C1, NR3C2"
CP,budesonide,-87.18,"glucocorticoid receptor agonist, glucocordicoid receptor antagonist, immunosuppressant","1.40, 0.83",Glucocorticoid receptor agonist,BRD-A82238138,"0.00, 0.00","NR3C1, CYP3A5, CYP3A7"
CP,BRD-K06817181,-87.32,JAK inhibitor,"1.34, 0.46",,BRD-K06817181,"0.00, 0.00",JAK2
CP,bisindolylmaleimide,-87.46,"CDK inhibitor, PKC inhibitor, leucine rich repeat kinase inhibitor","1.35, 0.41",,BRD-K31342827,"0.00, 0.00","CCND1, CDK4, LRRK2, PDPK1, PIM1, PRKCA, PRKCB, PRKCI, PRKCZ"
CP,hydrocortisone,-87.68,"corticosteroid agonist, glucocorticoid receptor agonist, immunosuppressant, interleukin receptor antagonist","1.55, 0.57",Glucocorticoid receptor agonist,BRD-A07000685,"0.00, 0.00","ANXA1, NOS2, NR3C1, NR3C2"
CP,LY-2140023,-87.77,glutamate receptor agonist,"0.95, 0.25",,BRD-K49519144,"0.00, 0.00","GRM3, GRM2"
CP,apicidin,80.7,HDAC inhibitor,"1.56, 0.50",HDAC inhibitor,BRD-K64606589,"20.00, 10.00","HDAC1, HDAC10, HDAC11, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9"
CP,diprotin-a,80.62,dipeptidyl peptidase inhibitor,"1.52, 0.38",,BRD-K69032158,"20.00, 20.00",DPP4
CP,pentobarbital,80.44,GABA receptor modulator,"1.23, 0.52",,BRD-A44448661,"0.00, 0.00","GABRA1, CHRNA4, CHRNA7, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, GRIA2, GRIK2, GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D, GRIN3A, GRIN3B"
CP,dipivefrine,80.09,adrenergic receptor agonist,"0.67, 0.17",,BRD-A47494775,"11.11, 11.11","ADRA1A, ACHE, ADRA2A, ADRB2, BCHE"
CP,vindesine,79.15,"tubulin inhibitor, microtubule inhibitor, vinca alkaloid","1.41, 0.49",Tubulin inhibitor,BRD-K59753975,"25.00, 0.00","TUBB, TUBB1"
CP,MPEP,78.71,glutamate receptor antagonist,"1.56, 0.49",,BRD-K60690191,"16.67, 0.00","GRM5, GRM1, GRM4"
CP,indoprofen,78.48,"cyclooxygenase inhibitor, platelet aggregation inhibitor, prostanoid receptor inhibitor","0.86, 0.19",Cyclooxygenase inhibitor,BRD-A44090213,"11.11, 11.11","PTGS1, PTGS2, CXCR1, CXCR2"
CP,barasertib,78.47,"Aurora kinase inhibitor, mitotic inhibitor, protein kinase inhibitor","0.64, 0.41",Aurora kinase inhibitor,BRD-K63923597,"10.00, 10.00","AURKB, AURKC"
CP,wortmannin,78.27,"PI3K inhibitor, ATM kinase inhibitor, ATR kinase inhibitor, DNA dependent protein kinase inhibitor, mTOR inhibitor, Phosphatidylinositol 3-kinase (PI3K) inhibitor, PLK inhibitor","1.68, 0.48",,BRD-K87343924,"11.11, 0.00","PIK3CA, PIK3CG, PLK1, ATM, ATR, MTOR, PI4KA, PI4KB, PIK3CD, PIK3R1, PLK3, PRKDC"
CP,kawain,77.97,"calcium channel modulator, mTOR inhibitor, Sodium Channel  Blockers","1.07, 0.28",,BRD-K09497549,"22.22, 11.11",MTOR
