,logFC,AveExpr,t,adj.P.Val,B,EntrezID,symbols,P.Value,Rank_1,HPO_Freq,NewP.value,Rank_2,Rank_1-Rank2
1559280_a_at,-2.013753882,5.063868572,-7.229574504,0.010064791,5.904615915,100506013,APELA,3.69E-07,1,0,0.000000369,1,0
228006_at,-0.380223525,8.30126761,-5.36316235,0.049170924,2.500370765,5728,PTEN,2.44E-05,22,54,4.44E-07,2,20
1555764_s_at,-0.598406047,10.54168591,-7.061104733,0.010064791,5.621337306,26519,TIMM10,5.29E-07,2,0,0.000000529,3,-1
236295_s_at,-0.478957613,7.300195464,-7.041126967,0.010064791,5.587415344,197358,NLRC3,5.52E-07,3,0,0.000000552,4,-1
213379_at,-0.878872299,7.271824917,-5.569717011,0.03740409,2.903908936,27235,COQ2,1.51E-05,20,18,7.95E-07,5,15
202053_s_at,0.385904651,9.204682718,5.604310318,0.03615168,2.970919952,224,ALDH3A2,1.39E-05,19,16,8.18E-07,6,13
209603_at,-0.36546944,4.92038368,-5.670790755,0.034236702,3.099221319,2625,GATA3,1.19E-05,17,10,1.08E-06,7,10
208641_s_at,-0.291911152,10.53339657,-6.443214103,0.019115987,4.540129908,5879,RAC1,2.05E-06,4,0,0.00000205,8,-4
212899_at,-0.403120595,8.295699126,-6.381082973,0.019115987,4.42779802,23097,CDK19,2.35E-06,5,0,0.00000235,9,-4
218746_at,0.673096065,7.445176134,6.359957297,0.019115987,4.389455907,55080,TAPBPL,2.47E-06,6,0,0.00000247,10,-4
238149_at,0.693963517,3.796054256,6.345129975,0.019115987,4.362500539,390963,ZNF818P,2.55E-06,7,0,0.00000255,11,-4
201739_at,1.435320312,6.888368355,6.205429245,0.021232148,4.106743794,6446,SGK1,3.50E-06,8,0,0.0000035,12,-4
210662_at,-0.566040835,3.792059612,-5.13207563,0.052333985,2.04241361,8942,KYNU,4.21E-05,38,8,4.68E-06,13,25
210062_s_at,0.47244732,6.966735046,6.023054611,0.028915103,3.76807776,51385,ZNF589,5.29E-06,9,0,0.00000529,14,-5
216627_s_at,0.906811211,5.433156177,5.102978662,0.052886129,1.984301777,2683,B4GALT1,4.51E-05,40,7,5.64E-06,15,25
238846_at,-1.451893419,4.763654443,-5.199265072,0.049170924,2.176231427,8792,TNFRSF11A,3.59E-05,33,5,5.98E-06,16,17
212989_at,-0.787415092,8.413230542,-5.861588016,0.034236702,3.463841263,259230,SGMS1,7.66E-06,10,0,0.00000766,17,-7
235318_at,-0.272673872,3.421383704,-4.033827245,0.160874592,-0.198070265,2200,FBN1,0.000585533,161,67,8.61E-06,18,143
218705_s_at,-0.743255282,5.385749631,-5.807487919,0.034236702,3.361007325,28966,SNX24,8.67E-06,11,0,0.00000867,19,-8
242702_at,-0.384425792,4.586340331,-4.691277324,0.07750307,1.152839811,166785,MMAA,0.000120489,72,12,9.27E-06,20,52
202931_x_at,-0.596644806,7.684954575,-4.548506044,0.091401813,0.861161623,274,BIN1,0.000169727,87,17,9.43E-06,21,66
