gene,p_value,HPO_Freq,Rank_1,New_Pvalue,Rank_2,Rank1-Rank2
DNA2,2.30E-08,13,5,1.64E-09,1,4
HK1,2.44E-08,6,8,3.49E-09,2,6
MYPN,2.17E-08,5,4,3.62E-09,3,1
CTNNA3,2.17E-08,0,1,2.17E-08,4,-3
LRRTM3,2.17E-08,0,2,2.17E-08,5,-3
DNAJC12,2.17E-08,0,3,2.17E-08,6,-3
TET1,2.30E-08,0,6,2.30E-08,7,-1
DDX50,2.44E-08,0,7,2.44E-08,8,-1
ANK3,7.86E-07,7,17,9.83E-08,9,8
DISC1,1.20E-07,0,9,1.20E-07,10,-1
FAM89A,1.20E-07,0,10,1.20E-07,11,-1
GALNT2,1.95E-07,0,11,1.95E-07,12,-1
URB2,1.95E-07,0,12,1.95E-07,13,-1
LOC106558667,1.95E-07,0,13,1.95E-07,14,-1
LOC102152969,1.95E-07,0,14,1.95E-07,15,-1
RAB4A,1.95E-07,0,15,1.95E-07,16,-1
LOC106558700,4.31E-07,0,16,4.31E-07,17,-1
PHYHIPL,8.99E-07,0,18,8.99E-07,18,0
FAM13C,8.99E-07,0,19,8.99E-07,19,0
UBE2D1,2.19E-06,0,20,2.19E-06,20,0
BICC1,2.19E-06,0,21,2.19E-06,21,0
USH2A,0.000139707,16,28,8.22E-06,22,6
ISPD,0.000622276,26,66,2.30E-05,23,43
NBAS,0.000707867,20,75,3.37E-05,24,51
LAMA2,0.000579001,8,62,6.43E-05,25,37
HR,0.000522268,6,58,7.46E-05,26,32
HIPK3,9.43E-05,0,22,9.43E-05,27,-5
TMEM65,9.53E-05,0,23,9.53E-05,28,-5
ITK,0.000644951,5,67,1.07E-04,29,38
SGCD,0.000644951,5,69,1.07E-04,30,39
TACR2,0.000108915,0,24,1.09E-04,31,-7
WT1,0.003440646,25,213,1.32E-04,32,181
CNTNAP5,0.000138054,0,25,1.38E-04,33,-8
YEATS4,0.000139163,0,26,1.39E-04,34,-8
BEST3,0.000139163,0,27,1.39E-04,35,-8
ADK,0.001981989,13,135,1.42E-04,36,99
TPK1,0.001470439,9,115,1.47E-04,37,78
FABP5,0.000150419,0,29,1.50E-04,38,-9
SLC16A9,0.00015069,0,30,1.51E-04,39,-9
EPG5,0.00457171,28,242,1.58E-04,40,202
PDE4D,0.004857616,29,253,1.62E-04,41,212
KAT6B,0.008983935,53,368,1.66E-04,42,326
MBD5,0.008486752,42,353,1.97E-04,43,310
MKKS,0.005225699,25,264,2.01E-04,44,220
PEBP4,0.000211371,0,31,2.11E-04,45,-14
SLC39A14,0.000215653,0,32,2.16E-04,46,-14
EZH2,0.009192189,41,377,2.19E-04,47,330
C15H4orf51,0.000225939,0,33,2.26E-04,48,-15
XYLT1,0.005536499,22,274,2.41E-04,49,225
KIAA1549L,0.000245211,0,34,2.45E-04,50,-16
JAG1,0.006483529,25,296,2.49E-04,51,245
NSD1,0.013400669,51,497,2.58E-04,52,445
CDH23,0.002838624,10,182,2.58E-04,53,129
NCOA7,0.000260554,0,35,2.61E-04,54,-19
SEMA3A,0.004971688,18,256,2.62E-04,55,201
LRIG2,0.002121977,7,140,2.65E-04,56,84
CDYL2,0.000270571,0,36,2.71E-04,57,-21
TSTD2,0.000278424,0,37,2.78E-04,58,-21
ZNF704,0.000292403,0,38,2.92E-04,59,-21
GRIN2A,0.003067106,8,189,3.41E-04,60,129
ABAT,0.003067106,8,191,3.41E-04,61,130
LOC102154218,0.000341405,0,39,3.41E-04,62,-23
CMIP,0.000359979,0,40,3.60E-04,63,-23
AGR2,0.000363388,0,41,3.63E-04,64,-23
PAG1,0.000378823,0,42,3.79E-04,65,-23
CD44,0.000391506,0,43,3.92E-04,66,-23
APIP,0.000391506,0,44,3.92E-04,67,-23
EHF,0.000391506,0,45,3.92E-04,68,-23
CAT,0.000391506,0,46,3.92E-04,69,-23
ABTB2,0.000391506,0,47,3.92E-04,70,-23
LOC102154259,0.000391506,0,48,3.92E-04,71,-23
CNTNAP2,0.003570158,8,214,3.97E-04,72,142
FGFR2,0.037143449,87,1089,4.22E-04,73,1016
CENPN,0.000451382,0,49,4.51E-04,74,-25
HDAC9,0.000453922,0,50,4.54E-04,75,-25
DSG4,0.001423955,2,112,4.75E-04,76,36
FAM65B,0.000475586,0,51,4.76E-04,77,-26
MICU1,0.002381802,4,151,4.76E-04,78,73
AGMO,0.000477506,0,52,4.78E-04,79,-27
AGT,0.00432368,8,234,4.80E-04,80,154
FBN1,0.033407069,67,1029,4.91E-04,81,948
LRRC16A,0.000493508,0,53,4.94E-04,82,-29
BTN1A1,0.000493508,0,54,4.94E-04,83,-29
LOC102153019,0.000514843,0,55,5.15E-04,84,-29
RMI2,0.000514843,0,56,5.15E-04,85,-29
REEP4,0.000522268,0,57,5.22E-04,86,-29
PDHX,0.010131117,18,402,5.33E-04,87,315
MEOX2,0.0005344,0,59,5.34E-04,88,-29
PDE6D,0.011512059,20,429,5.48E-04,89,340
TMEM178B,0.000553077,0,60,5.53E-04,90,-30
RGS21,0.000562939,0,61,5.63E-04,91,-30
ACAN,0.008048561,13,339,5.75E-04,92,247
KCND3,0.007571174,12,332,5.82E-04,93,239
SNAP25,0.006427625,10,292,5.84E-04,94,198
PEX3,0.026887283,44,870,5.97E-04,95,775
IMPA1,0.00061215,0,63,6.12E-04,96,-33
PLCB4,0.00552349,8,273,6.14E-04,97,176
SMAD1,0.000614481,0,64,6.14E-04,98,-34
ZNF423,0.012298344,19,460,6.15E-04,99,361
SCGN,0.000621107,0,65,6.21E-04,100,-35
HAVCR1,0.000644951,0,68,6.45E-04,101,-33
LOC102152250,0.00065154,0,70,6.52E-04,102,-32
CLINT1,0.00065154,0,71,6.52E-04,103,-32
CACNA2D3,0.000654358,0,72,6.54E-04,104,-32
HIST1H1T,0.000655052,0,73,6.55E-04,105,-32
LOC488267,0.000655052,0,74,6.55E-04,106,-32
MEF2C,0.018108584,26,633,6.71E-04,107,526
FOXP1,0.011575632,16,433,6.81E-04,108,325
MYH3,0.031812303,44,1005,7.07E-04,109,896
