"SUID","% Associated Genes","% Common Gene","%Genes Cluster #","All Associated Genes","Associated Genes Found","CEREBRAL_DOWNSTRAM_INFO","CEREBRAL_DOWNSTRAM_INFO_ALL","CEREBRAL_LOCALIZATION_INFO","CEREBRAL_LOCALIZATION_INFO_ALL","Cluster","Common Genes","ENSEMBL_GENE_ID","GOGroups","GOID","GOLevels","GOTerm","Group PValue","Group PValue Corrected with Bonferroni step down","name","Nr. Genes","Ontology Source","OverViewTerm","selected","shared name","Term PValue","Term PValue Corrected with Bonferroni step down","UniProtKB_AC","UNIQUE_ID"
"24104","52.22222137451172",,,"[ACTB, ACTC1, ACTG1, ADCY1, ADCY2, ADCY3, ADCY4, ADCY5, ADCY6, ADCY7, ADCY8, ADCY9, ADRB1, ATP2A2, CACNA1C, CACNA1D, CACNA1F, CACNA1S, CACNA2D1, CACNA2D2, CACNA2D3, CACNA2D4, CACNB1, CACNB2, CACNB3, CACNB4, CACNG1, CACNG2, CACNG3, CACNG4, CACNG5, CACNG6, CACNG7, CACNG8, DAG1, DES, DMD, EMD, GNAS, IGF1, ITGA1, ITGA10, ITGA11, ITGA2, ITGA2B, ITGA3, ITGA4, ITGA5, ITGA6, ITGA7, ITGA8, ITGA9, ITGAV, ITGB1, ITGB3, ITGB4, ITGB5, ITGB6, ITGB7, ITGB8, LAMA2, LMNA, LOC102723407, MYBPC3, MYH6, MYH7, MYL2, MYL3, PLN, PRKACA, PRKACB, PRKACG, RYR2, SGCA, SGCB, SGCD, SGCG, SLC8A1, TGFB1, TGFB2, TGFB3, TNF, TNNC1, TNNI3, TNNT2, TPM1, TPM2, TPM3, TPM4, TTN]","[ACTB, ACTC1, ADCY1, ADCY2, ADCY3, ADCY6, ADCY9, ATP2A2, CACNA1C, CACNA1D, CACNA1S, CACNA2D1, CACNA2D2, CACNA2D3, CACNB3, CACNB4, CACNG1, CACNG2, CACNG4, CACNG6, DAG1, IGF1, ITGA1, ITGA10, ITGA11, ITGA2, ITGA2B, ITGA6, ITGA7, ITGAV, ITGB1, ITGB3, ITGB5, LAMA2, MYH6, PRKACB, RYR2, SGCA, SGCB, SGCD, SGCG, SLC8A1, TGFB2, TNF, TPM2, TPM3, TTN]","","","","","","","","[Group15]","KEGG:05414","[-1]","Dilated cardiomyopathy (DCM)","{Group15=4.717455326183203E-6}","{Group15=3.7739642609465625E-5}","Dilated%20cardiomyopathy%20(DCM)","47","KEGG_04.09.2018","FALSE","false","Dilated%20cardiomyopathy%20(DCM)","8.816907746377487E-5","0.021777762133552394","","KEGG:05414"
"24105",,,,"","","","","1.Extracellular","1.Extracellular, 2.Plasma Membrane, 3.Intra Cellular","","","ENSG00000077522","KEGG:05412","ACTN2","","ACTN2","","","88",,"","ASSOCIATED_GENE","false","88",,,"[F6THM6, P35609, Q59FD9]","88"
"24106",,,,"","","","","2.Plasma Membrane","2.Plasma Membrane, 3.Intra Cellular, 5.Nucleus","","","ENSG00000057294","KEGG:05412","PKP2","","PKP2","","","5318",,"","ASSOCIATED_GENE","false","5318",,,"[Q99959]","5318"
"24107",,,,"","","","","1.Extracellular","1.Extracellular, 2.Plasma Membrane, 3.Intra Cellular","","","ENSG00000096696","KEGG:05412","DSP","","DSP","","","1832",,"","ASSOCIATED_GENE","false","1832",,,"[B4DKX6, P15924, Q4LE79]","1832"
"24108",,,,"","","","","1.Extracellular","1.Extracellular, 2.Plasma Membrane, 3.Intra Cellular","","","ENSG00000046604","KEGG:05412","DSG2","","DSG2","","","1829",,"","ASSOCIATED_GENE","false","1829",,,"[Q14126]","1829"
"24109",,,,"","","","","1.Extracellular","1.Extracellular, 2.Plasma Membrane, 3.Intra Cellular","","","ENSG00000134755","KEGG:05412","DSC2","","DSC2","","","1824",,"","ASSOCIATED_GENE","false","1824",,,"[Q02487]","1824"
"24110",,,,"","","","","1.Extracellular","1.Extracellular, 2.Plasma Membrane, 3.Intra Cellular","","","ENSG00000170558","KEGG:05412","CDH2","","CDH2","","","1000",,"","ASSOCIATED_GENE","false","1000",,,"[A0A024RC42, P19022]","1000"
"24111","61.11111068725586",,,"[ACTB, ACTG1, ACTN2, ACTN3, ATP2A2, CACNA1C, CACNA1D, CACNA1F, CACNA1S, CACNA2D1, CACNA2D2, CACNA2D3, CACNA2D4, CACNB1, CACNB2, CACNB3, CACNB4, CACNG1, CACNG2, CACNG3, CACNG4, CACNG5, CACNG6, CACNG7, CACNG8, CDH2, CTNNA1, CTNNA2, CTNNA3, CTNNB1, DAG1, DES, DMD, DSC2, DSG2, DSP, EMD, GJA1, ITGA1, ITGA10, ITGA11, ITGA2, ITGA2B, ITGA3, ITGA4, ITGA5, ITGA6, ITGA7, ITGA8, ITGA9, ITGAV, ITGB1, ITGB3, ITGB4, ITGB5, ITGB6, ITGB7, ITGB8, JUP, LAMA2, LEF1, LMNA, PKP2, RYR2, SGCA, SGCB, SGCD, SGCG, SLC8A1, TCF7, TCF7L1, TCF7L2]","[ACTB, ACTN2, ATP2A2, CACNA1C, CACNA1D, CACNA1S, CACNA2D1, CACNA2D2, CACNA2D3, CACNB3, CACNB4, CACNG1, CACNG2, CACNG4, CACNG6, CDH2, CTNNA1, CTNNA3, DAG1, DSC2, DSG2, DSP, ITGA1, ITGA10, ITGA11, ITGA2, ITGA2B, ITGA6, ITGA7, ITGAV, ITGB1, ITGB3, ITGB5, JUP, LAMA2, PKP2, RYR2, SGCA, SGCB, SGCD, SGCG, SLC8A1, TCF7L1, TCF7L2]","","","","","","","","[Group15]","KEGG:05412","[-1]","Arrhythmogenic right ventricular cardiomyopathy (ARVC)","{Group15=4.717455326183203E-6}","{Group15=3.7739642609465625E-5}","Arrhythmogenic%20right%20ventricular%20cardiomyopathy%20(ARVC)","44","KEGG_04.09.2018","TRUE","false","Arrhythmogenic%20right%20ventricular%20cardiomyopathy%20(ARVC)","6.263491741139765E-7","1.647298327919758E-4","","KEGG:05412"
"24112",,,,"","","","","1.Extracellular","1.Extracellular, 3.Intra Cellular, 5.Nucleus","","","ENSG00000155657","KEGG:05414","TTN","","TTN","","","7273",,"","ASSOCIATED_GENE","false","7273",,,"[A0A0A0MRA3, A0A0A0MTS7, Q7Z3B7, Q8WZ42]","7273"
"24113",,,,"","","","","3.Intra Cellular","3.Intra Cellular","","","ENSG00000198467","KEGG:05414","TPM2","","TPM2","","","7169",,"","ASSOCIATED_GENE","false","7169",,,"[A7XZE4, P07951, Q5TCU3, V9HW25]","7169"
"24114",,,,"","","","","1.Extracellular","1.Extracellular, 3.Intra Cellular","","","ENSG00000159251","KEGG:05414","ACTC1","","ACTC1","","","70",,"","ASSOCIATED_GENE","false","70",,,"[B3KPP5, P68032]","70"
"24115",,,,"","","","","2.Plasma Membrane","2.Plasma Membrane, 3.Intra Cellular, 5.Nucleus","","","ENSG00000183023","KEGG:05414","SLC8A1","","SLC8A1","","","6546",,"","ASSOCIATED_GENE","false","6546",,,"[P32418, Q4QQH3]","6546"
"24116",,,,"","","","","1.Extracellular","1.Extracellular, 2.Plasma Membrane, 3.Intra Cellular, 5.Nucleus","","","ENSG00000102683","KEGG:05414","SGCG","","SGCG","","","6445",,"","ASSOCIATED_GENE","false","6445",,,"[Q13326]","6445"
"24117",,,,"","","","","2.Plasma Membrane","2.Plasma Membrane, 3.Intra Cellular","","","ENSG00000170624","KEGG:05414","SGCD","","SGCD","","","6444",,"","ASSOCIATED_GENE","false","6444",,,"[Q92629]","6444"
"24118",,,,"","","","","2.Plasma Membrane","2.Plasma Membrane, 3.Intra Cellular","","","ENSG00000163069","KEGG:05414","SGCB","","SGCB","","","6443",,"","ASSOCIATED_GENE","false","6443",,,"[Q16585, Q5U0N0]","6443"
"24119",,,,"","","","","2.Plasma Membrane","2.Plasma Membrane, 3.Intra Cellular","","","ENSG00000108823","KEGG:05414","SGCA","","SGCA","","","6442",,"","ASSOCIATED_GENE","false","6442",,,"[A0A0S2Z4P8, A0A0S2Z4Q1, Q16586]","6442"
"24120",,,,"","","","","1.Extracellular","1.Extracellular, 3.Intra Cellular, 5.Nucleus","","","ENSG00000106617","KEGG:05410","PRKAG2","","PRKAG2","","","51422",,"","ASSOCIATED_GENE","false","51422",,,"[A0A090N8Q6, B7Z6X8, E9PGP6, Q9UGJ0]","51422"
"24121",,,,"","","","","1.Extracellular","1.Extracellular, 2.Plasma Membrane, 3.Intra Cellular","","","ENSG00000159640","KEGG:05410","ACE","","ACE","","","1636",,"","ASSOCIATED_GENE","false","1636",,,"[B4DKH4, P12821]","1636"
"24122","53.012046813964844",,,"[ACE, ACTB, ACTC1, ACTG1, ATP2A2, CACNA1C, CACNA1D, CACNA1F, CACNA1S, CACNA2D1, CACNA2D2, CACNA2D3, CACNA2D4, CACNB1, CACNB2, CACNB3, CACNB4, CACNG1, CACNG2, CACNG3, CACNG4, CACNG5, CACNG6, CACNG7, CACNG8, DAG1, DES, DMD, EMD, IGF1, IL6, ITGA1, ITGA10, ITGA11, ITGA2, ITGA2B, ITGA3, ITGA4, ITGA5, ITGA6, ITGA7, ITGA8, ITGA9, ITGAV, ITGB1, ITGB3, ITGB4, ITGB5, ITGB6, ITGB7, ITGB8, LAMA2, LMNA, MYBPC3, MYH6, MYH7, MYL2, MYL3, PRKAA1, PRKAA2, PRKAB1, PRKAB2, PRKAG1, PRKAG2, PRKAG3, RYR2, SGCA, SGCB, SGCD, SGCG, SLC8A1, TGFB1, TGFB2, TGFB3, TNF, TNNC1, TNNI3, TNNT2, TPM1, TPM2, TPM3, TPM4, TTN]","[ACE, ACTB, ACTC1, ATP2A2, CACNA1C, CACNA1D, CACNA1S, CACNA2D1, CACNA2D2, CACNA2D3, CACNB3, CACNB4, CACNG1, CACNG2, CACNG4, CACNG6, DAG1, IGF1, ITGA1, ITGA10, ITGA11, ITGA2, ITGA2B, ITGA6, ITGA7, ITGAV, ITGB1, ITGB3, ITGB5, LAMA2, MYH6, PRKAA1, PRKAG2, RYR2, SGCA, SGCB, SGCD, SGCG, SLC8A1, TGFB2, TNF, TPM2, TPM3, TTN]","","","","","","","","[Group15]","KEGG:05410","[-1]","Hypertrophic cardiomyopathy (HCM)","{Group15=4.717455326183203E-6}","{Group15=3.7739642609465625E-5}","Hypertrophic%20cardiomyopathy%20(HCM)","44","KEGG_04.09.2018","FALSE","false","Hypertrophic%20cardiomyopathy%20(HCM)","7.779802045201998E-5","0.019371707092552974","","KEGG:05410"
"24123",,,,"","","","","1.Extracellular","1.Extracellular, 2.Plasma Membrane, 3.Intra Cellular","","","ENSG00000101017","KEGG:05322","CD40","","CD40","","","958",,"","ASSOCIATED_GENE","false","958",,,"[A0A0S2Z349, A0A0S2Z3C7, P25942, Q6P2H9]","958"
"24124",,,,"","","","","1.Extracellular","1.Extracellular, 2.Plasma Membrane, 3.Intra Cellular","","","ENSG00000113600","KEGG:05322","C9","","C9","","","735",,"","ASSOCIATED_GENE","false","735",,,"[P02748]","735"
"24125",,,,"","","","","1.Extracellular","1.Extracellular, 2.Plasma Membrane","","","ENSG00000021852","KEGG:05322","C8B","","C8B","","","732",,"","ASSOCIATED_GENE","false","732",,,"[B7Z550, B7Z555, P07358]","732"
"24126",,,,"","","","","1.Extracellular","1.Extracellular, 2.Plasma Membrane","","","ENSG00000112936","KEGG:05322","C7","","C7","","","730",,"","ASSOCIATED_GENE","false","730",,,"[P10643, Q05CI3]","730"
"24127",,,,"","","","","1.Extracellular","1.Extracellular, 2.Plasma Membrane","","","ENSG00000039537","KEGG:05322","C6","","C6","","","729",,"","ASSOCIATED_GENE","false","729",,,"[P13671]","729"
